Area,Item Code,Item,Year,Unit,GDP,Food_insecure,FI_F,FI_M
Sudan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3927,49.2,46.5,58.7
Suriname,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,15864.6,14.1,14,13.6
Sweden,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,50925.2,,,
Switzerland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,68755.4,86.7,90.5,89
Tajikistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3654.1,4.6,4.9,4.1
Thailand,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,17253.1,7.7,8.5,6.7
Timor-Leste,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3925.9,7.4,9.2,5.3
Togo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2107.9,,,
Tonga,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,6346.2,77.4,,
Trinidad and Tobago,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,24768.7,19,48.9,40.7
Tunisia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,10314,86.4,,
Türkiye,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,28393.5,8.6,9.3,7.3
Tuvalu,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,4542.9,10,43.6,53.6
Uganda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2175,50.7,,
Ukraine,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12407.8,35.8,40.3,31.2
United Arab Emirates,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,63299.4,5.3,5.1,4.6
United Kingdom of Great Britain and Northern Ireland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,42820.6,2.2,1.8,2.4
United Republic of Tanzania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2635.4,,,
United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,59755.2,,,
Uruguay,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,21548.1,33.8,36.6,29.4
Uzbekistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,7344.2,,,
Vanuatu,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2878.5,62.5,64.2,68.2
Viet Nam,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,10338.3,,,
Zambia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3277.8,23.2,,
Zimbabwe,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3353.4,43.3,44.6,41.7
,,,,,,28,28,27.2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,72.5,75.1,79.4
,,,,,,22.7,24.6,20.2
,,,,,,7.5,9.7,13.2
,,,,,,3.5,3.4,3.3
,,,,,,57.6,66.2,68.4
,,,,,,8.2,19.7,15.5
,,,,,,23,24.5,17
,,,,,,23.5,23.7,22.4
,,,,,,23.3,,
,,,,,,,,
,,,,,,7.6,22.7,17.4
,,,,,,,,
,,,,,,69.5,69.5,69.5
,,,,,,73,64.7,61.7
