Area,Item,Year Code,Year,Unit,Value,Flag
Thailand,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,61,E
Timor-Leste,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,51.9,E
Togo,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,56,E
Tokelau,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Tonga,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Trinidad and Tobago,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,85,E
Tunisia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,99.7,E
Türkiye,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,110.3,E
Turkmenistan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,89.3,E
Tuvalu,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Uganda,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Ukraine,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,88,E
United Arab Emirates,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,81.3,E
United Kingdom of Great Britain and Northern Ireland,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,105,E
United Republic of Tanzania,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,60,E
United States of America,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,114.3,E
Uruguay,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,85.7,E
Uzbekistan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,99,E
Vanuatu,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,64,E
Venezuela (Bolivarian Republic of),Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,52.7,E
Viet Nam,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,86,E
Yemen,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,51.7,E
Zambia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,58.7,E
Zimbabwe,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
